Ref,Val,Package,PosX,PosY,Rot,Side
"SW19","","PG1350_Mill_Max",40.137500,-0.862500,-90.000000,bottom
"SW20","","PG1350_Mill_Max",42.757500,-20.742500,-105.000000,bottom
"SW21","","PG1350_Mill_Max",45.983271,-41.561284,-30.000000,bottom
"SW22","","PG1350_Mill_Max",-53.362500,63.137500,90.000000,bottom
"SW23","","PG1350_Mill_Max",-53.362500,45.137500,90.000000,bottom
"SW24","","PG1350_Mill_Max",-41.362500,27.137500,90.000000,bottom
"SW25","","PG1350_Mill_Max",-34.862500,9.137500,90.000000,bottom
"SW26","","PG1350_Mill_Max",-41.362500,-8.862500,90.000000,bottom
"SW27","","PG1350_Mill_Max",-43.362500,-26.862500,-90.000000,bottom
"SW28","","PG1350_Mill_Max",-70.362500,63.137500,90.000000,bottom
"SW29","","PG1350_Mill_Max",-70.362500,45.137500,90.000000,bottom
"SW30","","PG1350_Mill_Max",-58.362500,27.137500,90.000000,bottom
"SW31","","PG1350_Mill_Max",-51.862500,9.137500,90.000000,bottom
"SW32","","PG1350_Mill_Max",-58.362500,-8.862500,90.000000,bottom
"SW33","","PG1350_Mill_Max",-60.362500,-26.862500,90.000000,bottom
"SW34","","PG1350_Mill_Max",-87.362500,63.137500,90.000000,bottom
"SW35","","PG1350_Mill_Max",-87.362500,45.137500,90.000000,bottom
"SW36","","PG1350_Mill_Max",-75.362500,27.137500,90.000000,bottom
"SW37","","PG1350_Mill_Max",-68.862500,9.137500,90.000000,bottom
"SW38","","PG1350_Mill_Max",-75.362500,-8.862500,90.000000,bottom
"SW39","","PG1350_Mill_Max",-77.362500,-26.862500,-90.000000,bottom
"SW40","","PG1350_Mill_Max",-92.862500,-0.862500,90.000000,bottom
"SW41","","PG1350_Mill_Max",-95.482500,-20.742500,105.000000,bottom
"SW42","","PG1350_Mill_Max",-98.708271,-41.561284,30.000000,bottom
